post_id,user_id,place_id,name,latitude,longitude,level,NOM,geo
562,33,1436,Basílica de la Sagrada Família,41.4036,2.17436,,la Sagrada Família,"41.4036,2.17436"
1050,54,1436,Basílica de la Sagrada Família,41.4036,2.17436,,la Sagrada Família,"41.4036,2.17436"
1052,54,1436,Basílica de la Sagrada Família,41.4036,2.17436,,la Sagrada Família,"41.4036,2.17436"
1053,54,1436,Basílica de la Sagrada Família,41.4036,2.17436,,la Sagrada Família,"41.4036,2.17436"
1054,54,1436,Basílica de la Sagrada Família,41.4036,2.17436,,la Sagrada Família,"41.4036,2.17436"
1899,138,1436,Basílica de la Sagrada Família,41.4036,2.17436,,la Sagrada Família,"41.4036,2.17436"
1900,138,1436,Basílica de la Sagrada Família,41.4036,2.17436,,la Sagrada Família,"41.4036,2.17436"
4547,155,1436,Basílica de la Sagrada Família,41.4036,2.17436,,la Sagrada Família,"41.4036,2.17436"
6448,282,1436,Basílica de la Sagrada Família,41.4036,2.17436,,la Sagrada Família,"41.4036,2.17436"
6449,282,1436,Basílica de la Sagrada Família,41.4036,2.17436,,la Sagrada Família,"41.4036,2.17436"
6451,282,1436,Basílica de la Sagrada Família,41.4036,2.17436,,la Sagrada Família,"41.4036,2.17436"
7685,1776,1436,Basílica de la Sagrada Família,41.4036,2.17436,,la Sagrada Família,"41.4036,2.17436"
7750,1211,1436,Basílica de la Sagrada Família,41.4036,2.17436,,la Sagrada Família,"41.4036,2.17436"
4332,255,14976,Bonavida Cocktail Bar,41.3893,2.1708,bar,"la Dreta de l'Eixample
","41.3893,2.1708"
5226,312,17938,Paco Meralgo,41.3916,2.1525,bar,"l'Antiga Esquerra de l'Eixample
","41.3916,2.1525"
5612,85,19062,ILUZIONE Barcelona,41.396,2.14055,bar,"Sarrià, les Tres Torres i Vallvidrera


","41.396,2.14055"
5613,85,19062,ILUZIONE Barcelona,41.396,2.14055,bar,"Sarrià, les Tres Torres i Vallvidrera


","41.396,2.14055"
4158,314,14362,Salts - Terrassa Bar Montjuïc,41.3692,2.16557,bar,"el Poble Sec i Montjuïc

","41.3692,2.16557"
7498,312,14362,Salts - Terrassa Bar Montjuïc,41.3692,2.16557,bar,"el Poble Sec i Montjuïc

","41.3692,2.16557"
7499,312,14362,Salts - Terrassa Bar Montjuïc,41.3692,2.16557,bar,"el Poble Sec i Montjuïc

","41.3692,2.16557"
7500,312,14362,Salts - Terrassa Bar Montjuïc,41.3692,2.16557,bar,"el Poble Sec i Montjuïc

","41.3692,2.16557"
