destination_citivatis_id,civitatis_name,final_name,english_name,city_id
176,Chiang Mai,Chiang Mai,Chiang Mai,600027
177,Arequipa,Arequipa,Arequipa,300074
178,Puno,Puno,Puno,812
180,Badajoz,Badajoz,Badajoz,1200240
182,Amman,Amman,Amman,600008
183,Formentera,Sant Francesc,Sant Francesc,770
184,Oviedo,Oviedo,Oviedo,14
185,Llanes,Llanes,Llanes,16
186,Reykjavík,Reykjavík,Reykjavík,100000
187,Biarritz,Biarritz,Biarritz,300058
188,Mykonos,Mykonos,Mykonos,300048
191,Rhodes,Rhodes,Rhodes,100063
192,Santoña,Santoña,Santoña,1144
194,Quito,Quito,Quito,665
196,Sitges,Sitges,Sitges,25
199,Siem Reap,Krong Siem Reap,Krong Siem Reap,1200125
201,Phuket,Phuket,Phuket,600030
203,Tallin,Tallinn,Tallinn,35
204,Helsinki,Helsinki,Helsinki,55
207,Hanoi,Hanoi,Hanoi,1200218
208,Ho Chi Minh,Ho Chi Minh City,Ho Chi Minh City,647
209,Cuenca,Cuenca,Cuenca,668
213,Tromsø,Tromsø,Tromsø,1200203
216,Santiago de Chile,Santiago,Santiago,303
220,Bogotá,Bogotá,Bogotá,100127
223,San Andrés,San Andrés,San Andrés,1200025
224,Koh Samui,Koh Samui,Koh Samui,1200224
225,Hoi An,Hội An,Hội An,1200217
227,Panama City,Panama City,Panama City,286
228,Frankfurt,Frankfurt,Frankfurt,233
230,Medellín,Medellín,Medellín,100125
232,Oxford,Oxford,Oxford,100020
233,Cambridge,Cambridge,Cambridge,100021
234,Zurich,Zürich,Zürich,100037
235,Montevideo,Montevideo,Montevideo,1200286
237,Cartagena de Indias,Cartagena de Indias,Cartagena de Indias,100124
238,York,York,York,100019
239,Logroño,Logroño,Logroño,32
240,Gijón,Gijón,Gijón,15
241,Dresden,Dresden,Dresden,226
242,Valparaíso,Valparaíso,Valparaíso,687
243,Manchester,Manchester,Manchester,100025
