,destinationId,civitatis_name,final_name,english_name,city_id
154,163,Lagos,Lagos,Lagos,100080.0
156,165,Zaragoza,Zaragoza,Zaragoza,7.0
157,166,Tarragona,Tarragona,Tarragona,26.0
159,168,Orlando,Orlando,Orlando,1200010.0
161,170,San Diego,San Diego,San Diego,1200691.0
163,173,Sydney,Sydney,Sydney,1200000.0
164,174,Stockholm,Stockholm,Stockholm,1200186.0
165,175,Copenhagen,Copenhagen,Copenhagen,62.0
166,176,Chiang Mai,Chiang Mai,Chiang Mai,600027.0
167,177,Arequipa,Arequipa,Arequipa,300074.0
168,178,Puno,Puno,Puno,812.0
170,180,Badajoz,Badajoz,Badajoz,1200240.0
172,182,Amman,Amman,Amman,600008.0
173,183,Formentera,Sant Francesc,Sant Francesc,770.0
174,184,Oviedo,Oviedo,Oviedo,14.0
175,185,Llanes,Llanes,Llanes,16.0
176,186,Reykjavík,Reykjavík,Reykjavík,100000.0
177,187,Biarritz,Biarritz,Biarritz,300058.0
178,188,Mykonos,Mykonos,Mykonos,300048.0
181,191,Rhodes,Rhodes,Rhodes,100063.0
182,192,Santoña,Santoña,Santoña,1144.0
184,194,Quito,Quito,Quito,665.0
186,196,Sitges,Sitges,Sitges,25.0
189,199,Siem Reap,Krong Siem Reap,Krong Siem Reap,1200125.0
191,201,Phuket,Phuket,Phuket,600030.0
193,203,Tallin,Tallinn,Tallinn,35.0
194,204,Helsinki,Helsinki,Helsinki,55.0
197,207,Hanoi,Hanoi,Hanoi,1200218.0
198,208,Ho Chi Minh,Ho Chi Minh City,Ho Chi Minh City,647.0
199,209,Cuenca,Cuenca,Cuenca,668.0
202,213,Tromsø,Tromsø,Tromsø,1200203.0
205,216,Santiago de Chile,Santiago,Santiago,303.0
209,220,Bogotá,Bogotá,Bogotá,100127.0
212,223,San Andrés,San Andrés,San Andrés,1200025.0
213,224,Koh Samui,Koh Samui,Koh Samui,1200224.0
214,225,Hoi An,Hội An,Hội An,1200217.0
216,227,Panama City,Panama City,Panama City,286.0
217,228,Frankfurt,Frankfurt,Frankfurt,233.0
219,230,Medellín,Medellín,Medellín,100125.0
221,232,Oxford,Oxford,Oxford,100020.0
222,233,Cambridge,Cambridge,Cambridge,100021.0
223,234,Zurich,Zürich,Zürich,100037.0
224,235,Montevideo,Montevideo,Montevideo,1200286.0
226,237,Cartagena de Indias,Cartagena de Indias,Cartagena de Indias,100124.0
227,238,York,York,York,100019.0
228,239,Logroño,Logroño,Logroño,32.0
229,240,Gijón,Gijón,Gijón,15.0
230,241,Dresden,Dresden,Dresden,226.0
231,242,Valparaíso,Valparaíso,Valparaíso,687.0
232,243,Manchester,Manchester,Manchester,100025.0
234,245,Puerto Varas,Puerto Varas,Puerto Varas,1200360.0
235,246,Hamburg,Hamburg,Hamburg,100098.0
236,247,Liverpool,Liverpool,Liverpool,100024.0
237,248,Geneva,Geneva,Geneva,100036.0
238,249,Punta Arenas,Punta Arenas,Punta Arenas,688.0
239,250,Puerto Natales,Puerto Natales,Puerto Natales,1200487.0
242,253,San Vicente de la Barquera,San Vicente de la Barquera,San Vicente de la Barquera,300057.0
245,256,Easter Island,Easter Island,Easter Island,670.0
247,258,Cologne,Köln,Köln,1076.0
248,259,Bordeaux,Bordeaux,Bordeaux,100096.0
251,262,Siena,Siena,Siena,100048.0
252,263,Palermo,Palermo,Palermo,1200522.0
253,264,Catania,Catania,Catania,1200055.0
255,266,Bologna,Bologna,Bologna,1200731.0
258,269,Bari,Bari,Bari,1200411.0
260,271,Funchal,Funchal,Funchal,975.0
262,274,San Lorenzo de El Escorial,San Lorenzo de El Escorial,San Lorenzo de El Escorial,100043.0
265,277,Salzburg,Salzburg,Salzburg,100086.0
266,278,Calp,Calp,Calp,995.0
269,281,Bergen,Bergen,Bergen,1200357.0
270,282,Delhi,Delhi,Delhi,1200520.0
271,283,Guadalajara,Guadalajara,Guadalajara,100140.0
272,284,Mérida,Mérida,Mérida,100141.0
273,284,Mérida,Mérida,Mérida,1200049.0
277,288,Bath,Bath,Bath,100018.0
278,289,Cardiff,Cardiff,Cardiff,100013.0
279,290,Bristol,Bristol,Bristol,968.0
281,292,Jaén,Jaén,Jaén,511.0
282,293,Gothenburg,Gothenburg,Gothenburg,1200189.0
283,294,Agra,Agra,Agra,1198.0
284,295,Kathmandu,Kathmandu,Kathmandu,1200114.0
285,296,Haarlem,Haarlem,Haarlem,1200156.0
286,297,Vancouver,Vancouver,Vancouver,300070.0
292,303,Trujillo,Trujillo,Trujillo,300077.0
293,304,San José,San José,San José,1261.0
294,304,San José,San José,San José,1271.0
295,304,San José,San José,San José,300030.0
296,305,Oaxaca,Oaxaca,Oaxaca,100142.0
297,306,El Hierro,Valverde,Valverde,1224.0
298,307,Puerto Escondido,Puerto Escondido,Puerto Escondido,879.0
299,308,Burgos,Burgos,Burgos,292.0
300,309,Vila Nova de Gaia,Vila Nova de Gaia,Vila Nova de Gaia,977.0
307,316,Glasgow,Glasgow,Glasgow,100012.0
308,317,Split,Split,Split,100006.0
311,320,New Orleans,New Orleans,New Orleans,300006.0
312,321,Marbella,Marbella,Marbella,5.0
314,323,Wroclaw,Wrocław,Wrocław,59.0
315,324,Toronto,Toronto,Toronto,300072.0
316,325,Phnom Penh,Phnom Penh,Phnom Penh,567.0
318,327,Sochi,Sochi,Sochi,100087.0
319,328,Sao Paulo,São Paulo,São Paulo,100114.0
320,329,Victoria,Victoria,Victoria,135.0
321,329,Victoria,Victoria,Victoria,1200038.0
322,330,Zadar,Zadar,Zadar,100009.0
325,334,Sintra,Sintra,Sintra,100076.0
329,339,Lleida,Lleida,Lleida,27.0
330,340,Sofia,Sofia,Sofia,1200311.0
331,341,Verona,Verona,Verona,902.0
332,342,Osaka,Osaka,Osaka,600001.0
333,343,Luxembourg,Luxembourg,Luxembourg,1200131.0
334,344,Montreal,Montréal,Montréal,300071.0
335,345,The Hague,The Hague,The Hague,100030.0
338,348,Iquitos,Iquitos,Iquitos,820.0
339,349,Flores,Flores,Flores,345.0
340,350,Rotterdam,Rotterdam,Rotterdam,100027.0
341,351,Guatemala City,Guatemala City,Guatemala City,282.0
342,352,Corfu,Corfu,Corfu,773.0
343,353,Seattle,Seattle,Seattle,300008.0
344,354,Cape Town,Cape Town,Cape Town,900000.0
345,355,Antigua Guatemala,Antigua Guatemala,Antigua Guatemala,334.0
346,356,Melbourne,Melbourne,Melbourne,1200001.0
347,357,Salvador,Salvador,Salvador,100117.0
348,358,Chichen Itza,Chichén Itzá,Chichén Itzá,834.0
349,358,Chichen Itza,Chichén Itzá,Chichén Itzá,1110.0
350,359,Stavanger,Stavanger,Stavanger,1200204.0
351,361,Tbilisi,Tbilisi,Tbilisi,1278.0
352,362,Foz de Iguacu,Foz do Iguaçu,Foz do Iguaçu,1200581.0
354,364,Vladivostok,Vladivostok,Vladivostok,100090.0
356,366,Córdoba,Córdoba,Córdoba,3.0
357,366,Córdoba,Córdoba,Córdoba,1060.0
358,367,Manaus,Manaus,Manaus,1117.0
