,city_id,country_id,region_id,province_id,sub_province_id,google_api_level_x,google_id,city_english_name,city_spanish_name,country_english_name,country_spanish_name,lat,lng,geometry,province_id_x
752,100096,26,254.0,10063.0,,locality,ChIJgcpR9-gnVQ0RiXo5ewOGY3k,Bordeaux,Burdeos,France,Francia,44.837789,-0.57918,POINT (-0.57918 44.837789),
753,100097,27,260.0,,,locality,ChIJAVkDPzdOqEcRcDteW0YgIQQ,Berlin,Berlín,Germany,Alemania,52.52000659999999,13.404954,POINT (13.404954 52.52000659999999),
754,100098,27,263.0,,,locality,ChIJuRMYfoNhsUcRoDrWe_I9JgQ,Hamburg,Hamburgo,Germany,Alemania,53.5510846,9.9936818,POINT (9.9936818 53.5510846),
755,100099,7,88.0,10005.0,,locality,ChIJYwV-At5ET0YRvRa-ybQBhCo,Skagen,Skagen,Denmark,Dinamarca,57.725004,10.579186,POINT (10.579186 57.725004),
756,100100,7,90.0,10008.0,,locality,ChIJ4ZilTHU3S0YRHxJyGHT1k6s,Ribe,Ribe,Denmark,Dinamarca,55.326936,8.774665,POINT (8.774665 55.326936),
757,100101,7,87.0,10009.0,,locality,ChIJi3iXU7FMTEYRr6IukdnXTYw,Aarhus,Aarhus,Denmark,Dinamarca,56.162939,10.203921,POINT (10.203921 56.162939),
758,100102,1,1.0,12.0,,locality,ChIJAaKqgDYTEg0RUM6ZDUiupqg,Bormujos,Bormujos,Spain,España,37.3722503,-6.0701344,POINT (-6.0701344 37.3722503),
759,100103,1,1.0,12.0,,locality,ChIJWfZcrLtsEg0RgNDqCQBkBAo,Castilleja de la Cuesta,Castilleja de la Cuesta,Spain,España,37.3861591,-6.0550852,POINT (-6.0550852 37.3861591),
760,100104,1,1.0,12.0,,locality,ChIJYUK07TJtEg0RifeF3q1lwrQ,Mairena del Aljarafe,Mairena del Aljarafe,Spain,España,37.350923,-6.0520363,POINT (-6.0520363 37.350923),
761,100105,1,1.0,12.0,,locality,ChIJzwSOqWFiEg0RMNim4LbQRrs,Mairena del Alcor,Mairena del Alcor,Spain,España,37.3740447,-5.7484139,POINT (-5.7484139 37.3740447),
762,100106,54,,,,locality,ChIJAXEgXMVkAHwRMax21iaoWx4,Ewa Beach,Ewa Beach,United States,Estados Unidos,21.3123894,-158.0100917,POINT (-158.0100917 21.3123894),
763,100107,44,411.0,10188.0,,locality,ChIJRXMYNv_PxkcRsHsejVreAAQ,Eersel,Eersel,Netherlands,Países Bajos,51.3578078,5.3159125,POINT (5.3159125 51.3578078),
764,100108,14,151.0,10043.0,,locality,ChIJrSfp0V_oJA0R_iRjtO7TspU,Fafe,Fafe,Portugal,Portugal,41.4508217,-8.1728619,POINT (-8.1728619 41.4508217),
765,100110,27,,10166.0,,locality,ChIJHRmKsHyZwEcRT0QOC64Oo2M,Aachen,Aachen,Germany,Alemania,50.7753455,6.083886800000001,POINT (6.083886800000001 50.7753455),
766,100111,54,,,,locality,ChIJCW8PPKmMWYgRXTo0BsEx75Q,Asheville,Asheville,United States,Estados Unidos,35.5950581,-82.5514869,POINT (-82.5514869 35.5950581),
767,100112,57,540.0,10173.0,,locality,ChIJdeKa3xg9WpMRJEp1aeRwhHM,Brasília,Brasília,Brazil,Brasil,-15.7975154,-47.89188739999999,POINT (-47.89188739999999 -15.7975154),
768,100113,57,542.0,10174.0,,locality,ChIJW7VXLB0LpAAR_NWDHRPRhNk,Ouro Preto,Ouro Preto,Brazil,Brasil,-20.402211,-43.5105574,POINT (-43.5105574 -20.402211),
769,100114,57,544.0,10178.0,,locality,ChIJ0WGkg4FEzpQRrlsz_whLqZs,São Paulo,São Paulo,Brazil,Brasil,-23.5557714,-46.6395571,POINT (-46.6395571 -23.5557714),
770,100115,57,542.0,10176.0,,locality,ChIJMyzPysqQpgARlznSOl55NVs,Belo Horizonte,Belo Horizonte,Brazil,Brasil,-19.919052,-43.9386685,POINT (-43.9386685 -19.919052),
771,100116,57,543.0,10179.0,,locality,ChIJW6AIkVXemwARTtIvZ2xC3FA,Río de Janeiro,Río de Janeiro,Brazil,Brasil,-22.9068467,-43.1728965,POINT (-43.1728965 -22.9068467),
772,100117,57,539.0,10177.0,,locality,ChIJvS5CUCARFgcRndtzlTaEHPc,Salvador,Salvador,Brazil,Brasil,-12.9777378,-38.5016363,POINT (-38.5016363 -12.9777378),
773,100118,58,556.0,1273.0,,locality,ChIJ0eqih141Ar4RgkO0ECgNiR4,Puerto Madryn,Puerto Madryn,Argentina,Argentina,-42.76362169999999,-65.03483109999999,POINT (-65.03483109999999 -42.76362169999999),
774,100119,58,555.0,1275.0,,locality,ChIJvwnRurUiTLwR_OtDuj1HmFQ,Ushuaia,Ushuaia,Argentina,Argentina,-54.8019121,-68.3029511,POINT (-68.3029511 -54.8019121),
775,100120,58,554.0,1272.0,,locality,ChIJ5WDIIBV7GpYRZZp7y5euEII,San Carlos de Bariloche,San Carlos de Bariloche,Argentina,Argentina,-41.1334722,-71.3102778,POINT (-71.3102778 -41.1334722),
776,100121,58,551.0,1266.0,,locality,ChIJv3lRxD4JfpYROvoO0vZ4WiA,Mendoza,Mendoza,Argentina,Argentina,-32.8894587,-68.8458386,POINT (-68.8458386 -32.8894587),
777,100122,58,553.0,1269.0,,locality,ChIJCULTGU3ZhJURJtH-S4Bwlt0,Mar del Plata,Mar del Plata,Argentina,Argentina,-38.0054771,-57.5426106,POINT (-57.5426106 -38.0054771),
778,100123,58,552.0,1268.0,,locality,ChIJvQz5TjvKvJURh47oiC6Bs6A,Buenos Aires,Buenos Aires,Argentina,Argentina,-34.6036844,-58.3815591,POINT (-58.3815591 -34.6036844),
779,100124,59,558.0,1281.0,,locality,ChIJUROdrucl9o4RyiY_Ay45YbE,Cartagena,Cartagena,Colombia,Colombia,10.3932277,-75.4832311,POINT (-75.4832311 10.3932277),
780,100125,59,560.0,1277.0,,locality,ChIJBa0PuN8oRI4RVju1x_x8E0I,Medellín,Medellín,Colombia,Colombia,6.2476376,-75.56581530000001,POINT (-75.56581530000001 6.2476376),
781,100126,59,564.0,1276.0,,locality,ChIJv49INkzx8pERwDbGp5dFsdk,Leticia,Leticia,Colombia,Colombia,-4.203164999999999,-69.935907,POINT (-69.935907 -4.203164999999999),
782,100127,59,562.0,1280.0,,locality,ChIJKcumLf2bP44RFDmjIFVjnSM,Bogotá,Bogotá,Colombia,Colombia,4.710988599999999,-74.072092,POINT (-74.072092 4.710988599999999),
783,100128,59,558.0,1295.0,,locality,ChIJQ82BMdYJ9Y4RgVeYwuIEyKw,Ciudad Perdida (Lost City),Ciudad Perdida,Colombia,Colombia,10.7,-74.2166,POINT (-74.2166 10.7),
784,100129,59,558.0,1281.0,,locality,ChIJiSfg63PtXo4RkjYgR-gbJ-8,Mompox,Mompós,Colombia,Colombia,9.239654699999999,-74.4254445,POINT (-74.4254445 9.239654699999999),
785,100130,56,533.0,888.0,,locality,ChIJ21P2rgUrTI8Ris1fYjy3Ms4,Cancún,Cancún,Mexico,México,21.161908,-86.8515279,POINT (-86.8515279 21.161908),
786,100131,56,531.0,872.0,,locality,ChIJf8hjUGNFIYQRdFK_hZm_z3k,Puerto Vallarta,Puerto Vallarta,Mexico,México,20.653407,-105.2253316,POINT (-105.2253316 20.653407),
787,100132,56,528.0,863.0,,locality,ChIJoQjlifNKr4YRaLiiwWLfpEs,Cabo San Lucas,Cabo San Lucas,Mexico,México,22.8905327,-109.9167371,POINT (-109.9167371 22.8905327),
788,100133,56,526.0,859.0,,locality,ChIJB3UJ2yYAzoURQeheJnYQBlQ,Mexico City,Ciudad de México,Mexico,México,19.4326077,-99.133208,POINT (-99.133208 19.4326077),
789,100134,27,,,,locality,ChIJOfarlrfCuEcRnSytpBHhAGo,Essen,Essen,Germany,Alemania,51.4556432,7.0115552,POINT (7.0115552 51.4556432),
790,100136,56,530.0,880.0,,locality,ChIJ6_EMi_VzK4QRdB5XZdGw9CU,Guanajuato,Guanajuato,Mexico,México,21.0190145,-101.2573586,POINT (-101.2573586 21.0190145),
791,100137,56,532.0,885.0,,locality,ChIJyXcNIIh2NIQRW3y9evvq7Lw,Ixtapa Zihuatanejo,Ixtapa Zihuatanejo,Mexico,México,17.6625661,-101.58734,POINT (-101.58734 17.6625661),
